PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
68,https://www.aviva.com.br/,Aviva | Resorts e Parques aquáticos em meio à natureza,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
40,https://www.aviva.com.br/pacotes,Pacotes de viagem | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/pacotes,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
39,https://www.aviva.com.br/experiencias,Conheça Experiências incríveis | Aviva,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/experiencias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/faca-seu-evento,Faça seu Evento na Aviva,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/faca-seu-evento,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/blog,Blog | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/hot-park-costa-do-sauipe,Hot Park Costa do Sauípe Vem Aí,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/hot-park-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/hot-park-rio-quente,Hot Park Rio Quente - O Maior Parque de Águas Quentes,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/hot-park-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/politica-de-privacidade,Política de Privacidade,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/politica-de-privacidade,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/fale-conosco,Fale Conosco | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/fale-conosco,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
38,https://www.aviva.com.br/termos-de-uso,Termos de Uso,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/termos-de-uso,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
