PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
8,https://aviva.com.br/politica-de-privacidade,,,false,0,0,1,false,140,https://aviva.com.br/,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
8,https://aviva.com.br/termos-de-uso,,,false,0,0,1,false,140,https://aviva.com.br/,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
7,https://www.aviva.com.br/politica-de-privacidade,,,false,0,0,1,false,129,https://www.aviva.com.br/,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
7,https://www.aviva.com.br/termos-de-uso,,,false,0,0,1,false,129,https://www.aviva.com.br/,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/assets/c207e58d-5fd5-4d4b-94aa-2a8cbb53dd68,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/day-pass-cs,,,false,0,0,0,false,1,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/bar-makai,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/quermesse-da-praca,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/ponte-do-mergulho,,,false,0,0,0,false,1,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/arena-sauipe,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/praia-da-marina,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/turminha-da-zooeira,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/petiscos-e-bebidas,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/trilha-da-reserva-de-sapiranga,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/assets/0b4293d1-d892-4a16-8fe7-503427cd1c9f,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/mergulho-nas-piscinas-naturais,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/flor-do-cerrado,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/institucional/aviva,,,false,0,0,1,false,3,https://aviva.com.br/conheca-a-aviva,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/aulas-de-surf,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://www.aviva.com.br/resorts,,,false,0,0,1,false,1,https://www.aviva.com.br/,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/eventos/natal-rio-quente,,,false,0,0,1,false,3,https://aviva.com.br/agenda/natal-rio-quente,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/restaurante-marae,,,false,0,0,0,false,1,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/mac,,,false,0,0,0,false,1,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/bar-mahalo,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/experiencias/cafeteria,,,false,0,0,0,false,0,,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
0,https://aviva.com.br/agenda/sauipe,,,false,0,0,1,false,1,https://aviva.com.br/costa-do-sauipe,1) Abrir anexo e testar cada URL com `curl -w '%{time_total}' -o /dev/null`.,Performance,Alta
